id_equipo,nombre,logo,tipo,id_deporte,id_pais
181,Santos W,https://media.api-sports.io/football/teams/1811.png,Local,1,3
182,Adeco W,https://media.api-sports.io/football/teams/1812.png,Local,1,3
183,Gremio Osasco Audax W,https://media.api-sports.io/football/teams/1813.png,Local,1,3
184,Kindermann W,https://media.api-sports.io/football/teams/1814.png,Local,1,3
185,Sport Recife W,https://media.api-sports.io/football/teams/1815.png,Local,1,3
186,Ponte Preta W,https://media.api-sports.io/football/teams/1816.png,Local,1,3
187,Gremio W,https://media.api-sports.io/football/teams/1817.png,Local,1,3
188,Santa Rita,https://media.api-sports.io/football/teams/1989.png,Local,1,3
189,Americano Campos,https://media.api-sports.io/football/teams/2203.png,Local,1,3
190,AO Itabaiana,https://media.api-sports.io/football/teams/2204.png,Local,1,3
191,Avenida,https://media.api-sports.io/football/teams/2205.png,Local,1,3
192,Boavista SC,https://media.api-sports.io/football/teams/2206.png,Local,1,3
193,Bragantino PA,https://media.api-sports.io/football/teams/2207.png,Local,1,3
194,Brasiliense,https://media.api-sports.io/football/teams/2208.png,Local,1,3
195,Campinense,https://media.api-sports.io/football/teams/2209.png,Local,1,3
196,Central SC,https://media.api-sports.io/football/teams/2210.png,Local,1,3
197,Fast Clube-Am,https://media.api-sports.io/football/teams/2211.png,Local,1,3
198,Foz Do Iguacu,https://media.api-sports.io/football/teams/2212.png,Local,1,3
199,Imperatriz,https://media.api-sports.io/football/teams/2213.png,Local,1,3
200,Manaus FC,https://media.api-sports.io/football/teams/2214.png,Local,1,3
201,Mixto,https://media.api-sports.io/football/teams/2215.png,Local,1,3
202,Moto Club,https://media.api-sports.io/football/teams/2216.png,Local,1,3
203,Operario Ferroviario,https://media.api-sports.io/football/teams/2217.png,Local,1,3
204,Palmas,https://media.api-sports.io/football/teams/2218.png,Local,1,3
205,Real Desportivo Ariquemes,https://media.api-sports.io/football/teams/2219.png,Local,1,3
206,Rio Branco,https://media.api-sports.io/football/teams/2220.png,Local,1,3
207,River AC,https://media.api-sports.io/football/teams/2221.png,Local,1,3
208,Santa Cruz RN,https://media.api-sports.io/football/teams/2222.png,Local,1,3
209,Sao Raimundo PA,https://media.api-sports.io/football/teams/2223.png,Local,1,3
210,Sergipe,https://media.api-sports.io/football/teams/2224.png,Local,1,3
211,Serra Talhada,https://media.api-sports.io/football/teams/2225.png,Local,1,3
212,Sobradinho EC,https://media.api-sports.io/football/teams/2226.png,Local,1,3
213,Tombense,https://media.api-sports.io/football/teams/2227.png,Local,1,3
214,Uniao Trabalhadores,https://media.api-sports.io/football/teams/2228.png,Local,1,3
215,Uniclinic Atletico Clube,https://media.api-sports.io/football/teams/2229.png,Local,1,3
216,Votuporanguense,https://media.api-sports.io/football/teams/2230.png,Local,1,3
217,Ypiranga-PE,https://media.api-sports.io/football/teams/2231.png,Local,1,3
218,Sao Jose,https://media.api-sports.io/football/teams/2232.png,Local,1,3
219,America-RN,https://media.api-sports.io/football/teams/2233.png,Local,1,3
220,Botafogo SP,https://media.api-sports.io/football/teams/2618.png,Local,1,3
221,Foz-Athletico W,https://media.api-sports.io/football/teams/3825.png,Local,1,3
222,Internacional RS W,https://media.api-sports.io/football/teams/3826.png,Local,1,3
223,Minas ICESP W,https://media.api-sports.io/football/teams/3827.png,Local,1,3
224,Vitória BA W,https://media.api-sports.io/football/teams/3828.png,Local,1,3
225,Vitória PE W,https://media.api-sports.io/football/teams/3829.png,Local,1,3
226,Grêmio Barueri,https://media.api-sports.io/football/teams/4655.png,Local,1,3
227,Resende,https://media.api-sports.io/football/teams/4857.png,Local,1,3
228,Vasco da Gama AC,https://media.api-sports.io/football/teams/6370.png,Local,1,3
229,Aimoré,https://media.api-sports.io/football/teams/7767.png,Local,1,3
230,Atlético Acreano,https://media.api-sports.io/football/teams/7768.png,Local,1,3
231,Caldense,https://media.api-sports.io/football/teams/7769.png,Local,1,3
232,Caxias,https://media.api-sports.io/football/teams/7770.png,Local,1,3
233,Ceilândia,https://media.api-sports.io/football/teams/7771.png,Local,1,3
234,Confiança,https://media.api-sports.io/football/teams/7772.png,Local,1,3
235,Cordino,https://media.api-sports.io/football/teams/7773.png,Local,1,3
236,Floresta,https://media.api-sports.io/football/teams/7774.png,Local,1,3
237,Globo,https://media.api-sports.io/football/teams/7775.png,Local,1,3
238,Independente PA,https://media.api-sports.io/football/teams/7776.png,Local,1,3
239,Interporto,https://media.api-sports.io/football/teams/7777.png,Local,1,3
240,Itapemirim,https://media.api-sports.io/football/teams/7778.png,Local,1,3
241,Ituano,https://media.api-sports.io/football/teams/7779.png,Local,1,3
242,Madureira,https://media.api-sports.io/football/teams/7780.png,Local,1,3
243,Nacional AM,https://media.api-sports.io/football/teams/7781.png,Local,1,3
244,Nova Iguaçu,https://media.api-sports.io/football/teams/7782.png,Local,1,3
245,Novoperário,https://media.api-sports.io/football/teams/7783.png,Local,1,3
246,Parnahyba,https://media.api-sports.io/football/teams/7784.png,Local,1,3
247,Santos AP,https://media.api-sports.io/football/teams/7785.png,Local,1,3
248,São Caetano,https://media.api-sports.io/football/teams/7786.png,Local,1,3
249,Treze,https://media.api-sports.io/football/teams/7787.png,Local,1,3
250,União Rondonópolis,https://media.api-sports.io/football/teams/7788.png,Local,1,3
251,Volta Redonda,https://media.api-sports.io/football/teams/7814.png,Local,1,3
252,Macaé,https://media.api-sports.io/football/teams/7815.png,Local,1,3
253,Mogi Mirim,https://media.api-sports.io/football/teams/7816.png,Local,1,3
254,Guaratinguetá,https://media.api-sports.io/football/teams/7817.png,Local,1,3
255,Acadêmica Vitória,https://media.api-sports.io/football/teams/7818.png,Local,1,3
256,América PE,https://media.api-sports.io/football/teams/7819.png,Local,1,3
257,Anapolina,https://media.api-sports.io/football/teams/7820.png,Local,1,3
258,Atlético Roraima,https://media.api-sports.io/football/teams/7821.png,Local,1,3
259,Bahia de Feira,https://media.api-sports.io/football/teams/7822.png,Local,1,3
260,Barcelona RO,https://media.api-sports.io/football/teams/7823.png,Local,1,3
261,CAP,https://media.api-sports.io/football/teams/7824.png,Local,1,3
262,Coruripe,https://media.api-sports.io/football/teams/7825.png,Local,1,3
263,Ferroviária,https://media.api-sports.io/football/teams/7826.png,Local,1,3
264,Gaúcho,https://media.api-sports.io/football/teams/7827.png,Local,1,3
265,Hercílio Luz,https://media.api-sports.io/football/teams/7828.png,Local,1,3
266,Iporá,https://media.api-sports.io/football/teams/7829.png,Local,1,3
267,Itaboraí,https://media.api-sports.io/football/teams/7830.png,Local,1,3
268,Jacuipense,https://media.api-sports.io/football/teams/7831.png,Local,1,3
269,Maranhão,https://media.api-sports.io/football/teams/7832.png,Local,1,3
270,Maringá,https://media.api-sports.io/football/teams/7833.png,Local,1,3
271,Novorizontino,https://media.api-sports.io/football/teams/7834.png,Local,1,3
272,Portuguesa RJ,https://media.api-sports.io/football/teams/7835.png,Local,1,3
273,Serrano PB,https://media.api-sports.io/football/teams/7836.png,Local,1,3
274,Vitória ES,https://media.api-sports.io/football/teams/7837.png,Local,1,3
275,4 de Julho,https://media.api-sports.io/football/teams/7838.png,Local,1,3
276,ASSU,https://media.api-sports.io/football/teams/7839.png,Local,1,3
277,Baré,https://media.api-sports.io/football/teams/7840.png,Local,1,3
278,Belo Jardim,https://media.api-sports.io/football/teams/7841.png,Local,1,3
279,Espírito Santo,https://media.api-sports.io/football/teams/7842.png,Local,1,3
280,Flamengo Arcoverde,https://media.api-sports.io/football/teams/7843.png,Local,1,3
281,Internacional SC,https://media.api-sports.io/football/teams/7844.png,Local,1,3
282,Itumbiara,https://media.api-sports.io/football/teams/7845.png,Local,1,3
283,Linense,https://media.api-sports.io/football/teams/7846.png,Local,1,3
284,Macapá,https://media.api-sports.io/football/teams/7847.png,Local,1,3
285,Mirassol,https://media.api-sports.io/football/teams/7848.png,Local,1,3
286,Plácido de Castro,https://media.api-sports.io/football/teams/7849.png,Local,1,3
287,Prudentópolis,https://media.api-sports.io/football/teams/7850.png,Local,1,3
288,Sparta,https://media.api-sports.io/football/teams/7851.png,Local,1,3
289,Anápolis,https://media.api-sports.io/football/teams/7852.png,Local,1,3
290,Atlético PE,https://media.api-sports.io/football/teams/7853.png,Local,1,3
291,Bangu,https://media.api-sports.io/football/teams/7854.png,Local,1,3
292,Comercial MS,https://media.api-sports.io/football/teams/7855.png,Local,1,3
293,Desportiva ES,https://media.api-sports.io/football/teams/7856.png,Local,1,3
294,Guarany de Sobral,https://media.api-sports.io/football/teams/7857.png,Local,1,3
295,Jacobina,https://media.api-sports.io/football/teams/7858.png,Local,1,3
296,Luziânia,https://media.api-sports.io/football/teams/7859.png,Local,1,3
297,Metropolitano,https://media.api-sports.io/football/teams/7860.png,Local,1,3
298,Potiguar Mossoró,https://media.api-sports.io/football/teams/7861.png,Local,1,3
299,Princesa Solimões,https://media.api-sports.io/football/teams/7862.png,Local,1,3
300,RB Brasil,https://media.api-sports.io/football/teams/7863.png,Local,1,3
301,Sousa,https://media.api-sports.io/football/teams/7864.png,Local,1,3
302,São Bernardo,https://media.api-sports.io/football/teams/7865.png,Local,1,3
303,São Paulo RS,https://media.api-sports.io/football/teams/7866.png,Local,1,3
304,Tocantins Miracema,https://media.api-sports.io/football/teams/7867.png,Local,1,3
305,Trem,https://media.api-sports.io/football/teams/7868.png,Local,1,3
306,Villa Nova,https://media.api-sports.io/football/teams/7869.png,Local,1,3
307,XV de Piracicaba,https://media.api-sports.io/football/teams/7870.png,Local,1,3
308,Araguaia,https://media.api-sports.io/football/teams/7871.png,Local,1,3
309,Goianésia,https://media.api-sports.io/football/teams/7873.png,Local,1,3
310,Icasa,https://media.api-sports.io/football/teams/7874.png,Local,1,3
311,J. Malucelli,https://media.api-sports.io/football/teams/7875.png,Local,1,3
312,Náutico RR,https://media.api-sports.io/football/teams/7876.png,Local,1,3
313,Rondoniense,https://media.api-sports.io/football/teams/7877.png,Local,1,3
314,Tocantinópolis,https://media.api-sports.io/football/teams/7878.png,Local,1,3
315,Águia de Marabá,https://media.api-sports.io/football/teams/7879.png,Local,1,3
316,Vénus,https://media.api-sports.io/football/teams/8136.png,Local,1,3
317,CEO,https://media.api-sports.io/football/teams/9124.png,Local,1,3
318,Dimensão Saúde,https://media.api-sports.io/football/teams/9125.png,Local,1,3
319,Jacyobá,https://media.api-sports.io/football/teams/9126.png,Local,1,3
320,CSE,https://media.api-sports.io/football/teams/9127.png,Local,1,3
321,Miguelense,https://media.api-sports.io/football/teams/9128.png,Local,1,3
322,Sete de Setembro,https://media.api-sports.io/football/teams/9129.png,Local,1,3
323,Cruzeiro W,https://media.api-sports.io/football/teams/9980.png,Local,1,3
324,Palmeiras W,https://media.api-sports.io/football/teams/9981.png,Local,1,3
325,São Paulo W,https://media.api-sports.io/football/teams/9982.png,Local,1,3
326,Toledo,https://media.api-sports.io/football/teams/9994.png,Local,1,3
327,Afogados,https://media.api-sports.io/football/teams/9995.png,Local,1,3
328,Aquidauanense,https://media.api-sports.io/football/teams/9996.png,Local,1,3
329,Atlético Alagoinhas,https://media.api-sports.io/football/teams/9997.png,Local,1,3
330,Barbalha,https://media.api-sports.io/football/teams/9998.png,Local,1,3
331,CEOV Operário,https://media.api-sports.io/football/teams/9999.png,Local,1,3
332,Caucaia,https://media.api-sports.io/football/teams/10000.png,Local,1,3
333,Frei Paulistano,https://media.api-sports.io/football/teams/10001.png,Local,1,3
334,Lagarto,https://media.api-sports.io/football/teams/10002.png,Local,1,3
335,Santo André,https://media.api-sports.io/football/teams/10003.png,Local,1,3
336,São Luiz,https://media.api-sports.io/football/teams/10004.png,Local,1,3
337,Vilhenense,https://media.api-sports.io/football/teams/10005.png,Local,1,3
338,Águia Negra,https://media.api-sports.io/football/teams/10006.png,Local,1,3
339,Água Santa,https://media.api-sports.io/football/teams/10018.png,Local,1,3
340,Juventus,https://media.api-sports.io/football/teams/10019.png,Local,1,3
341,Atibaia,https://media.api-sports.io/football/teams/10020.png,Local,1,3
342,Monte Azul,https://media.api-sports.io/football/teams/10021.png,Local,1,3
343,Penapolense,https://media.api-sports.io/football/teams/10022.png,Local,1,3
344,Portuguesa Santista,https://media.api-sports.io/football/teams/10023.png,Local,1,3
345,Rio Claro,https://media.api-sports.io/football/teams/10024.png,Local,1,3
346,Sertãozinho,https://media.api-sports.io/football/teams/10025.png,Local,1,3
347,Taubaté,https://media.api-sports.io/football/teams/10026.png,Local,1,3
348,Olímpia,https://media.api-sports.io/football/teams/10027.png,Local,1,3
349,Barretos,https://media.api-sports.io/football/teams/10028.png,Local,1,3
350,Batatais,https://media.api-sports.io/football/teams/10029.png,Local,1,3
351,Capivariano,https://media.api-sports.io/football/teams/10030.png,Local,1,3
352,Comercial,https://media.api-sports.io/football/teams/10031.png,Local,1,3
353,Desportivo Brasil,https://media.api-sports.io/football/teams/10032.png,Local,1,3
354,EC São Bernardo,https://media.api-sports.io/football/teams/10033.png,Local,1,3
355,Grêmio Osasco,https://media.api-sports.io/football/teams/10034.png,Local,1,3
356,Marília,https://media.api-sports.io/football/teams/10035.png,Local,1,3
357,Nacional SP,https://media.api-sports.io/football/teams/10036.png,Local,1,3
358,Noroeste,https://media.api-sports.io/football/teams/10037.png,Local,1,3
359,Paulista,https://media.api-sports.io/football/teams/10038.png,Local,1,3
